Number;GroupName
1;Шифр, индекс
2;Назначение
3;Организация, заказчик
4;Год
5;Приказы
6;Коды
7;Состав
8;Наличие
9;Гарантийные сроки
10;Наработка на отказ
11;Стоимости
12;Гриф секретности
13;Время, периоды
14;Дальности
15;Выполняемые функции (функции, выполняемые средствами номенклатуры ГРУ, ГУ)
16;Диапазоны радиочастот
17;Диапазоны
18;Нестабильность
19;Вероятности
20;Неравномерности
21;Влажность
22;Списки, группы, типы
23;Глубина регулировки, коррекции
24;Уровни
25;Чувствительность
26;Шаги частотные
27;Полоса частот, ширина полосы частот
28;Температура
29;Язык
30;Напряженность поля
31;Объекты
32;Прием сигналов
33;Протоколы, форматы
34;Ремонтопригодность
35;Сектора, поля
36;Типы систем управления базой данных
37;Управление
38;Степени
39;Структура
40;Транспортабельность
41;Устойчивость
42;Фильтрация
43;Фокусное расстояние, светосила
44;Виды
45;Электропитание
46;Номиналы ПЧ
47;Способы
48;Масса
49;Размеры, габариты
50;Объемы информации
51;Количество/число
52;Типы средств, систем
53;Требования, условия, режимы функционирования
54;Сроки, гарантийные сроки, ресурсы
55;Динамика
