1;Частота, диапазон частот, разность частот, полоса частот, ширина спектра частот
2;Время. Время, наработка на отказ, наработка на сбой, длительность
3;Расстояние, высота, дальность, протяжённость, размер, длина волны
4;Площадь
5;Объёмы, габариты
6;Масса
7;Количество, число
8;Электрическое напряжение
9;Напряженность электрического поля, спектральная плотность мощности сигнала
10;Освещённость
11;Сила тока, ёмкость источника тока
12;Эл. Мощность
13;Коэффициенты
14;Объём информации, скорости передачи информации
15;Температура
16;Угол геометрический
17;Избирательность, уровень, добротность, подавление, динамический диапазон
18;Скорости
19;Интенсивности
20;Сопротивление электрическому току
21;Единицы счёта
22;Условия
23;Стоимость, затраты
