1;гигагерц;ГГц;1
2;мегагерц;МГц;1
3;килогерц;кГц;1
4;герц;Гц;1
5;год;г., г (лет);2
6;месяц;мес;2
7;неделя;неделя;2
8;сутки;сут;2
9;час;ч;2
10;минута;мин;2
11;секунда;с;2
12;миллисекунда;мс;2
13;микросекунда;мкс;2
14;наносекунда;нс;2
15;километр;км;3
16;метр;м;3
17;дециметр;дм;3
18;сантиметр;см;3
19;миллиметр;мм;3
20;микрометр;мкм;3
21;морская миля;ммил;3
22;дюйм;д;3
23;километр квадратный;кв.км;4
24;метр квадратный;кв.м;4
25;дециметр квадратный;кв.дм;4
26;сантиметр квадратный;кв.см;4
27;миллиметр квадратный;кв.мм;4
28;гектар;га;4
29;метр кубический;куб.м;5
30;дециметр кубический;куб.дм;5
31;сантиметр кубический;куб.см;5
32;миллиметр кубический;куб.мм;5
33;литр;л;5
34;миллилитр;мл;5
35;метр х метр х метр;м х м х м;5
36;миллиметр х миллиметр х миллиметр;мм х мм х мм;5
37;тонна;т;6
38;килограмм;кг;6
39;грамм;г;6
40;миллиграмм;мг;6
41;человек;чел;7
42;штука, штук;шт;7
43;комплект;компл;7
44;разрядность (АЦП, выходных цифровых отсчетов);бит;7
45;объём информации (мегабайт, килобайт, групп, знаков);Мбайт, кбайт, гр, зн;7
46;число (безразмерная величина);"(безразмерная величина)";7
47;мегавольт;;8
48;киловольт;кВ;8
49;вольт;В;8
50;вольт/Г ц;В/Гц;8
51;милливольт;мВ;8
52;микровольт;мкВ;8
53;киловольт на метр;кВ/м;9
54;Вольт на метр;В/м;9
55;милливольт на метр;мВ/м;9
56;микровольт на метр;мкВ/м;9
57;миллиВатт на МГц (на кГц);мВт/МГ ц (мВт/кГц);9
58;люкс;лк;10
59;Ампер;А;11
60;миллиампер;мА;11
61;микроампер;мкА;11
62;Амперчас;Ач;11
63;миллиамперчас;мАч;11
64;мегаватт;МВт;12
65;киловатт;кВт;12
66;Ватт;Вт;12
67;милливатт;мВт;12
68;микроватт;мкВт;12
69;Вольтампер;ВА;12
70;децибел;Дб;13
71;децибелватт;дБВт;13
72;децибел на градус Кельвина;дБ/гр.К;13
73;микро_вольт на метр;мкВ/ м;13
74;процент;%;13
75;Байт;Б;14
76;килобайт;кБ;14
77;мегабайт;МБ;14
78;бит;бит;14
79;килобит;Кбит;14
80;мегабит;Мбит;14
81;Бод;Бод;14
82;бит в секунду;бит/с;14
83;килобит в секунду;Кбит/с;14
84;мегабит в секунду;Мбит/с;14
85;знаков в секунду;зн./с.;14
86;знаков в минуту;зн./мин;14
87;пятизначных групп в секунду;5-зн.гр./с.;14
88;пятизначных групп в минуту;5-зн.гр./мин.;14
89;команд в минуту;ком/м;14
90;градус Цельсия;гр.Ц.;15
91;градус Кельвина;гр.К;15
92;градус угловой;гр.уг;16
93;минута угловая;мин.уг;16
94;секунда угловая;с.уг;16
95;радиан;рад.;16
96;децибел;ДБ;17
97;децибелватт;дБВт;17
98;децибелватт на метр квадратный;дБВт/кв.м;17
99;децибел на градус Кельвина;дБ/гр.К;17
100;километров в час;км/ч;18
101;метров в минуту;м/мин;18
102;метров в секунду;м/с;18
103;сантиметров в секунду;см/с;18
104;узел (морской);уз;18
105;градусов угловых в секунду;гр.уг/с;18
106;мегагерц в секунду;МГц/с;18
107;килогерц в секунду;кГц/с;18
108;излучений в час;изл/м;19
109;сигналов в час;сигн/ч;19
110;команд в час;ком/ч;19
111;кадров в секунду;кадров/с;19
112;команд  в минуту;ком/м;19
113;целей в минуту;ц/мин;19
114;излучений в минуту;изл/м;19
115;сигналов в минуту;сигн/м;19
116;строк в минуту;стр./мин;19
117;знаков  в минуту;зн./мин;19
118;пятизначных  групп в минуту;5-зн.гр./мин.;19
119;групп в секунду;гр./с.;19
120;строк в секунду;стр./с.;19
121;знаков  в секунду;зн./с.;19
122;пятизначных  групп в секунду;5-зн.гр./с.;19
123;бит  в секунду;бит/с;19
124;кбит  в секунду;Кбит/с;19
125;мбит  в секунду;Мбит/с;19
126;байт  в секунду;байт/с;19
127;кбайт  в секунду;кбайт/с;19
128;мбайт  в секунду;Мбайт/с;19
129;Бод;Бод;19
130;килобод;кБод;19
131;мегабод;Мбод;19
132;групп в минуту;гр/мин;19
133;каналов в секунду;кан./с;19
134;операций в секунду;опер./с;19
135;штук в час;шт/ч;19
136;штук в сутки;шт/с;19
137;штук в минуту;шт/мин;19
138;листов в минуту;листов в мин;19
139;Гбайт в сутки;Гбайт/сут;19
140;мегом;мом;20
141;килоом;ком;20
142;Ом;Ом;20
143;штука;шт;21
144;человек;чел.;21
145;группа;гр.;21
146;пятизначная группа;п.гр.;21
147;единица;ед;21
148;знак;зн.;21
149;градус  Цельсия;гр.Ц.;22
150;градус  Кельвина;гр.К.;22
151;миллиметров ртутного столба;мм рт.ст;22
152;Уровень механических воздействий;g;22
153;миллион рублей;млн.руб.;23
154;тысяча рублей;тыс.руб.;23
155;рубль;руб.;23
